cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,desccription,year,value,mode,chained_value,estimate_actual,deflator,gov_level_sort_order,mode_sort_order,user_other_grp
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2010,600497423,Air,669033182,Actual,89.756,0,2,-
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2011,42591000,Air,46198653,Actual,92.191,0,2,-
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2012,0,Air,0,Actual,92.944,0,2,-
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2013,0,Air,0,Actual,94.354,0,2,-
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2014,0,Air,0,Actual,96.197,0,2,-
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2015,0,Air,0,Actual,97.039,0,2,-
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2016,0,Air,0,Actual,97.996,0,2,-
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2017,0,Air,0,Actual,100,0,2,-
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2018,926000000,Air,899334725,Actual,102.965,0,2,-
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2019,336184931,Air,321108870,Actual,104.695,0,2,-
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2020,0,Air,0,Actual,105.072,0,2,-
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2021,5370720000,Air,4958838845,Actual,108.306,0,2,-
Transfer,-,-,Non-Trust Fund,-,Federal,FAA general fund outlays for grant programs,2022,5293360000,Air,4647905380,Actual,113.887,0,2,-
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2010,51000000,Air,56820714,Actual,89.756,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2011,56000000,Air,60743457,Actual,92.191,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2012,64000000,Air,68858668,Actual,92.944,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2013,68000000,Air,72069017,Actual,94.354,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2014,85000000,Air,88360344,Actual,96.197,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2015,100000000,Air,103051350,Actual,97.039,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2016,110000000,Air,112249480,Actual,97.996,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2017,122000000,Air,122000000,Actual,100,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2018,134000000,Air,130141310,Actual,102.965,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2019,146000000,Air,139452696,Actual,104.695,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2020,109000000,Air,103738389,Actual,105.072,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2021,36000000,Air,33239156,Actual,108.306,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,Federal,Overflight fee revenues,2022,94000000,Air,82537954,Actual,113.887,0,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2010,17981750067,Air,20707236540,Actual,86.838,1,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2011,17981750067,Air,19758862127,Actual,91.006,1,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2012,18600173432,Air,19591709868,Actual,94.939,1,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2013,19428852768,Air,19976816854,Actual,97.257,1,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2014,20377545827,Air,20702365949,Actual,98.431,1,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2015,21161300792,Air,21751193150,Actual,97.288,1,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2016,22314431969,Air,22984428047,Actual,97.085,1,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2017,23282987798,Air,23282987798,Actual,100,1,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2018,24772293830,Air,23647613340,Actual,104.756,1,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2019,26172342248,Air,24599453210,Actual,106.394,1,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2020,19938080832,Air,18657259937,Actual,106.865,1,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2021,19661174163,Air,16781616575,Actual,117.159,1,2,User-Based
Revenue,Own-Source,User-Based,Non-Trust Fund,-,State and Local,"User-based revenues: total aeronautical revenue, certain non-aeronautical revenues, and PFCs",2022,26019363365,Air,20104281625,Actual,129.422,1,2,User-Based
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2010,5257000000,Air,5856990062,Actual,89.756,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2011,4764000000,Air,5167532622,Actual,92.191,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2012,4528000000,Air,4871750732,Actual,92.944,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2013,4158000000,Air,4406808402,Actual,94.354,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2014,2875000000,Air,2988658690,Actual,96.197,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2015,1131000000,Air,1165510774,Actual,97.039,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2016,1764000000,Air,1800073472,Actual,97.996,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2017,998000000,Air,998000000,Actual,100,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2018,967000000,Air,939154081,Actual,102.965,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2019,982000000,Air,937962653,Actual,104.695,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2020,142000000,Air,135145424,Actual,105.072,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2021,995000000,Air,918693332,Actual,108.306,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,FAA general fund nongrant outlays,2022,3946000000,Air,3464837953,Actual,113.887,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2010,160000000,Air,178261063,Actual,89.756,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2011,196000000,Air,212602098,Actual,92.191,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2012,200000000,Air,215183336,Actual,92.944,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2013,243000000,Air,257540751,Actual,94.354,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2014,212000000,Air,220381093,Actual,96.197,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2015,219000000,Air,225682458,Actual,97.039,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2016,257000000,Air,262255602,Actual,97.996,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2017,278000000,Air,278000000,Actual,100,0,2,-
Expenditure,-,-,Total,Non-Capital,Total,-,2018,48605217690,Transit,46401122346,Actual,,9999,1,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2018,295000000,Air,286505123,Actual,102.965,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2019,321000000,Air,306604900,Actual,104.695,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2020,318000000,Air,302649612,Actual,105.072,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2021,529000000,Air,488430927,Actual,108.306,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST air transportation outlays,2022,651000000,Air,571619237,Actual,113.887,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2010,542000000,Air,603859352,Actual,89.756,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2011,601000000,Air,651907453,Actual,92.191,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2012,584000000,Air,628335342,Actual,92.944,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2013,558000000,Air,591389872,Actual,94.354,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2014,539000000,Air,560308534,Actual,96.197,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2015,578000000,Air,595636806,Actual,97.039,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2016,609000000,Air,621453937,Actual,97.996,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2017,629000000,Air,629000000,Actual,100,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2018,650000000,Air,631282475,Actual,102.965,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2019,710000000,Air,678160371,Actual,104.695,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2020,826000000,Air,786127608,Actual,105.072,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2021,763000000,Air,704485439,Actual,108.306,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NASA air transportation outlays,2022,883000000,Air,775329932,Actual,113.887,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2010,5197000000,Air,5790142163,Actual,89.756,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2011,5197000000,Air,5637209706,Actual,92.191,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2012,5352000000,Air,5758306077,Actual,92.944,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2013,5402000000,Air,5725247472,Actual,94.354,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2014,5319000000,Air,5529278460,Actual,96.197,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2015,5035000000,Air,5188635497,Actual,97.039,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2016,4812000000,Air,4910404506,Actual,97.996,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2017,4676000000,Air,4676000000,Actual,100,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2018,4495000000,Air,4365561113,Actual,102.965,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2019,4643000000,Air,4434786762,Actual,104.695,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2020,6632000000,Air,6311862342,Actual,105.072,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2021,6395000000,Air,5904566691,Actual,108.306,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,"TSA air transportation outlays, non-capital",2022,5614000000,Air,4929447610,Actual,113.887,0,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2010,14321434665,Air,16492128636,Actual,86.838,1,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2011,14321434665,Air,15736802700,Actual,91.006,1,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2012,14569507956,Air,15346178026,Actual,94.939,1,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2013,15210014737,Air,15638992296,Actual,97.257,1,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2014,15881421995,Air,16134573452,Actual,98.431,1,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2015,16356170466,Air,16812115025,Actual,97.288,1,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2016,16813388685,Air,17318214642,Actual,97.085,1,2,-
Expenditure,-,-,Total,Non-Capital,Total,-,2019,50995977187,Transit,47933717294,Actual,,9999,1,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2017,17400872064,Air,17400872064,Actual,100,1,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2018,18141710848,Air,17318063737,Actual,104.756,1,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2019,19736153197,Air,18550062219,Actual,106.394,1,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2020,19089845931,Air,17863515586,Actual,106.865,1,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2021,18214166091,Air,15546535982,Actual,117.159,1,2,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,"Subtotal operating expenses, excluding depreciation, plus interest expense",2022,20161413160,Air,15578041724,Actual,129.422,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2010,0,Air,0,Actual,89.756,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2011,0,Air,0,Actual,92.191,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2012,0,Air,0,Actual,92.944,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2013,0,Air,0,Actual,94.354,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2014,0,Air,0,Actual,96.197,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2015,0,Air,0,Actual,97.039,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2016,297000000,Air,303073595,Actual,97.996,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2017,338000000,Air,338000000,Actual,100,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2018,355000000,Air,344777352,Actual,102.965,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2019,517000000,Air,493815368,Actual,104.695,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2020,471000000,Air,448264048,Actual,105.072,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2021,343000000,Air,316695289,Actual,108.306,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,"TSA air transportation outlays, capital",2022,390000000,Air,342444704,Actual,113.887,0,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2010,9186798931,Air,10579238272,Actual,86.838,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2011,9186798931,Air,10094717855,Actual,91.006,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2012,8837724111,Air,9308844743,Actual,94.939,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2013,8881770096,Air,9132268213,Actual,97.257,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2014,8871104824,Air,9012511124,Actual,98.431,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2015,9767404122,Air,10039680250,Actual,97.288,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2016,10320565182,Air,10630442583,Actual,97.085,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2017,12797552187,Air,12797552187,Actual,100,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2018,14926652600,Air,14248971515,Actual,104.756,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2019,18490085841,Air,17378880239,Actual,106.394,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2020,18048908210,Air,16889447630,Actual,106.865,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2021,21618530348,Air,18452300163,Actual,117.159,1,2,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Total capital expenditure and construction in progress,2022,15582625338,Air,12040167312,Actual,129.422,1,2,-
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2010,0,Air,0,Actual,89.756,0,2,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2011,0,Air,0,Actual,92.191,0,2,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2012,0,Air,0,Actual,92.944,0,2,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2013,0,Air,0,Actual,94.354,0,2,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2014,0,Air,0,Actual,96.197,0,2,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2015,22552171,Air,23240317,Actual,97.039,0,2,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2016,21751659,Air,22196476,Actual,97.996,0,2,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2017,38704891,Air,38704891,Actual,100,0,2,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2018,25685590,Air,24945943,Actual,102.965,0,2,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2019,524849772,Air,501313121,Actual,104.695,0,2,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2020,23508819,Air,22374009,Actual,105.072,0,2,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2021,14032111738,Air,12955987423,Actual,108.306,0,2,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,General funds to AATF,2022,33133775,Air,29093553,Actual,113.887,0,2,Other
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2010,3281502577,Air,3656025867,Actual,89.756,0,2,-
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2011,3216409000,Air,3488853576,Actual,92.191,0,2,-
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2012,3143868609,Air,3382540679,Actual,92.944,0,2,-
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2013,3653396193,Air,3872009870,Actual,94.354,0,2,-
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2014,3259375154,Air,3388229523,Actual,96.197,0,2,-
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2015,3141192731,Air,3237041531,Actual,97.039,0,2,-
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2016,3127585803,Air,3191544352,Actual,97.996,0,2,-
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2017,3291806198,Air,3291806198,Actual,100,0,2,-
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2018,3110000000,Air,3020443840,Actual,102.965,0,2,-
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2019,3466815069,Air,3311347313,Actual,104.695,0,2,-
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2020,6896894124,Air,6563969587,Actual,105.072,0,2,-
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2021,3292280000,Air,3039794656,Actual,108.306,0,2,-
Transfer,-,-,Trust Fund,-,Federal,AATF Expenditure for Grants in Aid for Airports,2022,3026640000,Air,2657581638,Actual,113.887,0,2,-
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2010,10612953000,Air,11824226793,Actual,89.756,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2011,11531819120,Air,12508617023,Actual,92.191,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2012,12532214510,Air,13483618641,Actual,92.944,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2013,12853559795,Air,13622697284,Actual,94.354,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2014,13512514635,Air,14046711056,Actual,96.197,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2015,14268051549,Air,14703419810,Actual,97.039,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2016,14406200051,Air,14700804166,Actual,97.996,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2017,15054799004,Air,15054799004,Actual,100,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2018,15792523056,Air,15337758516,Actual,102.965,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2019,15975987180,Air,15259551249,Actual,104.695,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2020,9015738616,Air,8580533935,Actual,105.072,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2021,8183642217,Air,7556037724,Actual,108.306,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Excise tax revenues to AATF,2022,11376625835,Air,9989398118,Actual,113.887,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2010,194627076,Air,216840185,Actual,89.756,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2011,182396699,Air,197846535,Actual,92.191,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2012,220627896,Air,237377234,Actual,92.944,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2013,234670305,Air,248712619,Actual,94.354,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2014,240203951,Air,249700044,Actual,96.197,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2015,272682713,Air,281003218,Actual,97.039,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2016,266740607,Air,272195403,Actual,97.996,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2017,285169660,Air,285169660,Actual,100,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2018,287549315,Air,279268989,Actual,102.965,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2019,343013222,Air,327630949,Actual,104.695,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2020,387427447,Air,368725680,Actual,105.072,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2021,267829529,Air,247289651,Actual,108.306,0,2,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest Earnings on AATF,2022,172747802,Air,151683513,Actual,113.887,0,2,User-Based
Expenditure,-,-,Trust Fund,Non-Capital,Federal,AATF non-capital expenditure,2010,4277536356,Air,4765738620,Actual,89.756,0,2,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,AATF non-capital expenditure,2011,4859144909,Air,5270736741,Actual,92.191,0,2,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,AATF non-capital expenditure,2012,5397560172,Air,5807325026,Actual,92.944,0,2,-
